server_id,datid,relid,indexrelid,schemaname,relname,indexrelname,s_from,s_to,t_from,t_to,dt_sec,d_blks_read,d_blks_hit,d_blks_dirty,d_blks_written,d_wal_records,d_wal_fpi,d_wal_bytes,d_total,d_delay,d_tuples_deleted,d_pages_deleted,d_failsafe,phase,mode
1,28343,29909,29927,public,pgbench_accounts,pgbench_accounts_pkey,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,3,0,0,0,0,0,0.03200000012293458,0,0,0,0,B-middle,fixed
1,26479,27149,27174,public,sample_stat_indexes,ix_sample_stat_indexes_il,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29013,29038,public,sample_stat_indexes,ix_sample_stat_indexes_il,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29013,29039,public,sample_stat_indexes,ix_sample_stat_indexes_ts,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29013,29021,public,sample_stat_indexes,pk_sample_stat_indexes,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28761,28771,public,sample_stat_io,pk_sample_stat_io,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28927,28957,public,sample_stat_tables,is_sample_stat_tables_ts,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28927,28958,public,sample_stat_tables,ix_sample_stat_tables_rel,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28927,28935,public,sample_stat_tables,pk_sample_stat_tables,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,26479,27063,27071,public,sample_stat_tables,pk_sample_stat_tables,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28969,28989,public,sample_stat_tables_total,ix_sample_stat_tables_total_ts,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,28969,28977,public,sample_stat_tables_total,pk_sample_stat_tables_tot,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29489,29510,public,sample_stat_vacuum_indexes,ix_sample_stat_vacuum_indexes_rel,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29489,29498,public,sample_stat_vacuum_indexes,pk_sample_stat_vacuum_indexes,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29467,29488,public,sample_stat_vacuum_tables,ix_sample_stat_vacuum_tables_rel,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29467,29476,public,sample_stat_vacuum_tables,pk_sample_stat_vacuum_tables,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29092,29120,public,sample_statements,ix_sample_stmts_qid,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29092,29121,public,sample_statements,ix_sample_stmts_rol,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29092,29103,public,sample_statements,pk_sample_statements_n,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29072,29091,public,stmt_list,ix_stmt_list_smp,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29072,29079,public,stmt_list,pk_stmt_list,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
