server_id,datid,relid,s_from,s_to,t_from,t_to,dt_sec,relname,schemaname,d_total,d_delay,d_blk_read_t,d_blk_write_t,d_blks_read,d_blks_hit,d_blks_dirty,d_blks_written,d_wal_records,d_wal_fpi,d_wal_bytes,d_tuples_deleted,d_pages_scanned,d_pages_removed,d_recent_dead,d_tuples_frozen,d_vm_visible,d_vm_frozen,d_vm_visible_frozen,d_idx_passes,d_failsafe,d_missed_pages,d_missed_tuples,d_idx_tuples_deleted,d_idx_pages_deleted,d_idx_blks_dirty,d_idx_blks_read,d_idx_blks_hit,d_idx_wal_records,d_idx_wal_bytes,d_idx_total_time,d_idx_failsafe,n_indexes,phase,mode
1,28343,28761,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,sample_stat_io,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,fixed
1,26479,27063,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,sample_stat_tables,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,fixed
1,28343,28927,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,sample_stat_tables,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,B-middle,fixed
1,28343,28969,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,sample_stat_tables_total,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B-middle,fixed
1,28343,29489,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,sample_stat_vacuum_indexes,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B-middle,fixed
1,28343,29467,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,sample_stat_vacuum_tables,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B-middle,fixed
1,28343,29092,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,sample_statements,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,B-middle,fixed
1,28343,29072,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,stmt_list,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B-middle,fixed
1,26479,27046,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,tables_list,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B-middle,fixed
1,28343,28910,183,184,2026-04-26 11:36:21+03,2026-04-26 11:36:36+03,15.000000,tables_list,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B-middle,fixed
1,28343,31752,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,evs_delete_index_window_labeled,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,31747,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,evs_delete_window_labeled,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,31715,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,evs_index_window,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,fixed
1,28343,31688,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,evs_window,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,fixed
1,28343,31721,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,evs_window_with_indexes,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,fixed
1,28343,31694,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,evs_workload_profile,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B-middle,fixed
1,28343,28990,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,indexes_list,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,B-middle,fixed
1,26479,27126,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,indexes_list,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,fixed
1,28343,29388,184,185,2026-04-26 11:36:36+03,2026-04-26 11:36:52+03,16.000000,last_extension_versions,public,2.758,2.0799999999999983,0.02091700000000002,0.00975100000000001,3,61,10,2,14,10,40156,77,6,0,0,0,6,0,5,1,0,0,0,1012,9,10,12,38,20,56509,3.013,0,1,B-middle,fixed
