server_id,datid,relid,s_from,s_to,t_from,t_to,dt_sec,relname,schemaname,d_total,d_delay,d_blk_read_t,d_blk_write_t,d_blks_read,d_blks_hit,d_blks_dirty,d_blks_written,d_wal_records,d_wal_fpi,d_wal_bytes,d_tuples_deleted,d_pages_scanned,d_pages_removed,d_recent_dead,d_tuples_frozen,d_vm_visible,d_vm_frozen,d_vm_visible_frozen,d_idx_passes,d_failsafe,d_missed_pages,d_missed_tuples
1,26479,27126,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,indexes_list,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28343,29643,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,last_stat_indexes_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,27779,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,last_stat_indexes_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,26914,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,last_stat_io,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,27701,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,last_stat_statements_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,27761,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,last_stat_tables_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28343,29625,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,last_stat_tables_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28343,1249,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,pg_attribute,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,1249,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,pg_attribute,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,1259,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,pg_class,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28343,2608,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,pg_depend,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,2608,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,pg_depend,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,2619,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,pg_statistic,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28343,29909,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,pgbench_accounts,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,28045,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,pgbench_accounts,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28343,29913,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,pgbench_branches,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28343,29902,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,pgbench_history,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,28038,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,pgbench_history,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28343,29905,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,pgbench_tellers,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,28041,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,pgbench_tellers,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,27149,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,sample_stat_indexes,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,27063,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,sample_stat_tables,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,27046,3,4,2026-04-26 08:36:49+03,2026-04-26 08:37:05+03,16.000000,tables_list,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,27126,4,5,2026-04-26 08:37:05+03,2026-04-26 08:37:21+03,16.000000,indexes_list,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28343,29643,4,5,2026-04-26 08:37:05+03,2026-04-26 08:37:21+03,16.000000,last_stat_indexes_srv1,public,36.94800000000001,30.240000000000002,0.280957,0.12908199999999997,53,536,47,38,251,1,33526,1740,176,0,0,0,176,0,140,5,0,0,0
1,26479,27779,4,5,2026-04-26 08:37:05+03,2026-04-26 08:37:21+03,16.000000,last_stat_indexes_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,26914,4,5,2026-04-26 08:37:05+03,2026-04-26 08:37:21+03,16.000000,last_stat_io,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,27701,4,5,2026-04-26 08:37:05+03,2026-04-26 08:37:21+03,16.000000,last_stat_statements_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,27761,4,5,2026-04-26 08:37:05+03,2026-04-26 08:37:21+03,16.000000,last_stat_tables_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28343,29625,4,5,2026-04-26 08:37:05+03,2026-04-26 08:37:21+03,16.000000,last_stat_tables_srv1,public,108.44899999999998,92.31999999999996,0.30812500000000004,1.286328,191,408,185,126,258,1,31348,1351,180,0,0,0,180,0,144,5,0,0,0
1,28343,1249,4,5,2026-04-26 08:37:05+03,2026-04-26 08:37:21+03,16.000000,pg_attribute,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,1249,4,5,2026-04-26 08:37:05+03,2026-04-26 08:37:21+03,16.000000,pg_attribute,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,1259,4,5,2026-04-26 08:37:05+03,2026-04-26 08:37:21+03,16.000000,pg_class,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28343,2608,4,5,2026-04-26 08:37:05+03,2026-04-26 08:37:21+03,16.000000,pg_depend,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,2608,4,5,2026-04-26 08:37:05+03,2026-04-26 08:37:21+03,16.000000,pg_depend,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26479,2619,4,5,2026-04-26 08:37:05+03,2026-04-26 08:37:21+03,16.000000,pg_statistic,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
